Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON,GEOG 245 GEOGRAPHIC PERSPECTIVES ON U.S. POPULATION DIVERSITY (5),BELLEVUE COLLEGE,GEOG 901S TRANSFER-IN SOCIAL SCIENCES COURSE,Social Sciences,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,GEOG 258 DIGITAL GEOGRAPHIES (5),BELLEVUE COLLEGE,GEOG 258 INTRO TO MAPPING & GEOGRAPHIC INFORMATION SYSTEM (5),,,
UNIVERSITY OF WASHINGTON,GEOL 101 INTRODUCTION TO GEOLOGICAL SCIENCES (5),BELLEVUE COLLEGE,GEOL& 101 INTRODUCTION TO PHYSICAL GEOLOGY (6),Sciences (Lab),1994/1/1,
UNIVERSITY OF WASHINGTON,GERMAN 101 FIRST-YEAR GERMAN (5),BELLEVUE COLLEGE,GERM& 121 GERMAN I (5),,,
UNIVERSITY OF WASHINGTON,GERMAN 102 FIRST-YEAR GERMAN (5),BELLEVUE COLLEGE,GERM& 122 GERMAN II (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,GERMAN 103 FIRST-YEAR GERMAN (5),BELLEVUE COLLEGE,GERM& 123 GERMAN III (5),Humanities,2007/1/1,
UNIVERSITY OF WASHINGTON,GERMAN 201 SECOND-YEAR GERMAN (5),BELLEVUE COLLEGE,GERM& 221 GERMAN IV (5),,,
UNIVERSITY OF WASHINGTON,GERMAN 202 SECOND-YEAR GERMAN (5),BELLEVUE COLLEGE,GERM& 222 GERMAN V (5),,,
UNIVERSITY OF WASHINGTON,GERMAN 203 SECOND-YEAR GERMAN (5),BELLEVUE COLLEGE,GERM& 223 GERMAN VI (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,GWSS 200 INTRODUCTION TO WOMEN STUDIES (5),BELLEVUE COLLEGE,CES 109 INTRODUCTION TO WOMEN’S STUDIES (5),,,
UNIVERSITY OF WASHINGTON,HIST 111 THE ANCIENT WORLD (5),BELLEVUE COLLEGE,HIST 101 HISTORY OF CIVILIZATION: CULTURAL TRADITIONS (5),,,
UNIVERSITY OF WASHINGTON,HIST 112 THE MEDIEVAL WORLD (5),BELLEVUE COLLEGE,HIST 102 HISTORY OF CIVILIZATION MIDDLE AGES (5),Humanities or Social Sciences (Not Both),2008/1/1,
